movieId,title,genres,director,plot_keywords,title_cast_short
39,clueless (1995),comedy romance,amyheckerling,miniskirt girl wears a miniskirt short skirt virgin,aliciasilverstone staceydash brittanymurphy
40,"cry, the beloved country (1995)",drama,ronaldharwood,1940s racial tension apartheid south africa,jamesearljones richardharris vusikunene
41,richard iii (1995),drama war,ianmckellen,fascist dog tank battle,christopherbowen edwardjewesbury ianmckellen
42,dead presidents (1995),action crime drama,allenhughes,vietnam war 1960s black panthers new york city,larenztate keithdavid christucker
43,restoration (1995),drama,rosetremain,17th century plague based on novel king charles ii,robertdowneyjr. samneill davidthewlis
44,mortal kombat (1995),action adventure fantasy,edboon,based on video game campy evil man villain,christopherlambert robinshou lindenashby
45,to die for (1995),comedy drama thriller,joycemaynard,scantily clad female new hampshire television coitus,nicolekidman mattdillon joaquinphoenix
46,how to make an american quilt (1995),drama romance,whitneyotto,younger version of character triple f rated title directed by female love,kaelynncraddick saracraddick katecapshaw
47,seven (a.k.a. se7en) (1995),mystery thriller,andrewkevinwalker,serial killer detective serial murder seven deadly sins,morganfreeman andrewkevinwalker danielzacapa
48,pocahontas (1995),animation children drama musical romance,ericgoldberg,unsubtitled foreign language disobedience pocahontas character captain john smith character,joebaker christianbale irenebedard
49,when night is falling (1995),drama romance,patriciarozema,christian teacher scissoring tribadism,pascalebussières rachaelcrawford henryczerny
50,"usual suspects, the (1995)",crime mystery thriller,christophermcquarrie,criminal suspect criminal mastermind flashback,stephenbaldwin gabrielbyrne beniciodeltoro
51,guardian angel (1994),action drama thriller,richardw.munchkin,murder of a police officer shooting a police officer police officer police officer killed,cynthiarothrock danielmcvicar lydiedenier
52,mighty aphrodite (1995),comedy drama romance,woodyallen,new york city talking about sex husband wife relationship hot,pamelablair reneceballos eliechaib
53,lamerica (1994),adventure drama,gianniamelio,albania one word title poverty fraud,enricoloverso micheleplacido piromilkani
54,"big green, the (1995)",children comedy,hollygoldbergsloan,close up of eyes texas fast motion sports team,steveguttenberg oliviad'abo jayo.sanders
55,georgia (1995),drama,barbaraturner,voyeur sex in bed female rear nudity female frontal nudity,jenniferjasonleigh marewinningham tedlevine
56,kids of the round table (1995),adventure children comedy fantasy,roberttinnell,sword magic 11 year old boy,johnnymorina maggiecastle christopherolscamp
57,home for the holidays (1995),drama,chrisradant,thanksgiving gay sibling female protagonist dysfunctional family,hollyhunter robertdowneyjr. annebancroft
58,"postman, the (postino, il) (1994)",comedy drama romance,massimotroisi,postman poetry island poet,philippenoiret massimotroisi mariagraziacucinotta
59,"confessional, the (confessionnal, le) (1995)",drama mystery,robertlepage,reference to joan of arc 1950s priest hitchcockian,lothairebluteau patrickgoyette jean-louismillette
60,"indian in the cupboard, the (1995)",adventure children fantasy,lynnereidbanks,robocop character five word title child protagonist miniature person,halscardino litefoot lindsaycrouse
61,eye for an eye (1996),drama thriller,erikaholzer,pantyhosed leg rape vigilante rape and murder,sallyfield edharris oliviaburnette
62,mr. holland's opus (1995),drama,patricksheaneduncan,teaching high school 1990s deafness,richarddreyfuss glenneheadly jaythomas
63,don't be a menace to south central while drinking your juice in the hood (1996),comedy crime,southcentral,hood parody grandmother cult film,shawnwayans marlonwayans traceycherellejones
64,two if by sea (1996),comedy romance,denisleary,painting island thief voyeur,denisleary sandrabullock stephendillane
65,bio-dome (1996),comedy,adamleff,bio dome experiment biosphere slapstick comedy,williamatherton denisedowse daratomanovich
66,lawnmower man 2: beyond cyberspace (1996),action sci-fi thriller,farhadmann,psychotronic film computer parking garage sword,patrickbergin mattfrewer austino'brien
67,two bits (1995),drama,josephstefano,man wears eyeglasses old man suicide by hanging great depression,jerrybarone maryelizabethmastrantonio alpacino
68,french twist (gazon maudit) (1995),comedy romance,patrickaubrée,f rated lesbian strong female character polyamorous relationship,victoriaabril josianebalasko alainchabat
69,friday (1995),comedy,icecube,adult lives at home hat drug user drug,icecube christucker nialong
70,from dusk till dawn (1996),action comedy horror thriller,robertkurtzman,sex offender vampire stripper rape victim,georgeclooney quentintarantino harveykeitel
71,fair game (1995),action,paulagosling,female lawyer spy based on novel woman in jeopardy,williambaldwin cindycrawford stevenberkoff
72,kicking and screaming (1995),comedy drama,noahbaumbach,female stockinged legs pantyhose slacker beer drinking,joshhamilton samuelgould catherinekellner
73,"misérables, les (1995)",drama war,victorhugo,lawyer boxer jewish paris france,jean-paulbelmondo michelboujenah alessandramartines
74,bed of roses (1996),drama romance,michaelgoldenberg,florist flower widower rooftop,christianslater marystuartmasterson pamelaadlon
75,big bully (1996),comedy drama,markstevenjohnson,close up of eyes close up of lips close up of mouth bully,rickmoranis tomarnold juliannephillips
76,screamers (1995),action sci-fi thriller,philipk.dick,stop motion matte painting miniature model shakespearean quotation,peterweller roydupuis jenniferrubin
77,nico icon (1995),documentary,susanneofteringer,f rated female musician singer songwriter interview,nico tinaaumont christianpäffgen
78,"crossing guard, the (1995)",action crime drama thriller,seanpenn,hit and run obsession forgiveness loneliness,jacknicholson davidmorse anjelicahuston
79,"juror, the (1996)",drama thriller,georgedawesgreen,female frontal nudity female nudity ankle holster ankle,demimoore alecbaldwin josephgordon-levitt
80,"white balloon, the (badkonake sefid) (1995)",children drama,abbaskiarostami,money little girl shopkeeper snake charmer,aidamohammadkhani mohsenkafili fereshtehsadreorafaiy
81,things to do in denver when you're dead (1995),crime drama romance,scottrosenberg,debt contract killer one last job gangster,andygarcia christopherlloyd williamforsythe
82,antonia's line (antonia) (1995),comedy drama,marleengorris,f rated feminist film character name as title one word title,willekevanammelrooy elsdottermans doravandergroen
83,once upon a time... when we were colored (1995),drama romance,cliftonl.taulbert,segregation rural setting race relations prejudice,alfreemanjr. phyliciarashad leon
84,last summer in the hamptons (1995),comedy drama,henryjaglom,f rated long island actress written and directed by cast member,victoriafoyt vivecalindfors jonrobinbaitz
85,angels and insects (1995),drama romance,a.s.byatt,aristocrat insect england bare chested male,markrylance kristinscottthomas patsykensit
86,white squall (1996),action adventure drama,charlesgiegjr.,sail squall storm male bonding,jeffbridges carolinegoodall johnsavage
87,dunston checks in (1996),children comedy,johnhopkins,brother brother relationship air duct hotel owner concierge,jasonalexander fayedunaway ericlloyd
88,black sheep (1996),comedy,fredwolf,clumsiness embarrassment political campaign slapstick comedy,chrisfarley davidspade timmatheson
89,nick of time (1995),action thriller,patricksheaneduncan,real time conservatism vigilantism character repeats someone else's dialogue,johnnydepp courtneychase charless.dutton
90,the journey of august king (1995),drama,johnduigan,slave freedom slave owner law,jasonpatric thandienewton larrydrake
92,mary reilly (1996),drama horror thriller,valeriemartin,housemaid servant laboratory butler,juliaroberts johnmalkovich georgecole
93,vampire in brooklyn (1995),comedy horror romance,eddiemurphy,vampire yellow eyes african american brooklyn new york city,eddiemurphy angelabassett allenpayne
94,beautiful girls (1996),comedy drama romance,scottrosenberg,cheating wife skank loves knows no age boundaries bangs,mattdillon noahemmerich annabethgish
95,broken arrow (1996),action adventure thriller,grahamyost,male male relationship good versus evil evil man villain,johntravolta christianslater samanthamathis
96,in the bleak midwinter (1995),comedy drama,kennethbranagh,christmas actor play british renaissance,richardbriers hettacharnley joancollins
97,"hate (haine, la) (1995)",crime drama,mathieukassovitz,police arab gun ghetto,vincentcassel hubertkoundé saïdtaghmaoui
98,shopping (1994),action thriller,paulw.s.anderson,shopping shop shopping mall stealing,sadiefrost judelaw seanpertwee
99,heidi fleiss: hollywood madam (1995),documentary,nickbroomfield,narration prostitution,nickbroomfield ninaxiningzuo madamalex
100,city hall (1996),drama thriller,kenlipper,mayor dealer drug dealer deputy mayor,alpacino johncusack bridgetfonda
101,bottle rocket (1996),adventure comedy crime romance,owenwilson,texas caper dark comedy motel,lukewilson owenwilson neddowd
102,mr. wrong (1996),comedy,chrismatheson,date single woman television studio stalker,ellendegeneres billpullman joancusack
103,unforgettable (1996),mystery sci-fi thriller,billgeddie,self experimentation implanted memory murder memory,rayliotta lindafiorentino petercoyote
104,happy gilmore (1996),comedy,timherlihy,golf golf ball golf course black panties,adamsandler christophermcdonald juliebowen
105,"bridges of madison county, the (1995)",drama romance,merylstreep,bridge love farm photographer,clinteastwood merylstreep anniecorley
106,nobody loves me (keiner liebt mich) (1994),comedy drama,dorisdörrie,f rated female nudity bath,mariaschrader pierresanoussi-bliss michaelvonau
107,muppet treasure island (1996),adventure children comedy musical,davidlane,breaking the fourth wall miss piggy character swedish chef character kermit the frog character,timcurry billyconnolly jennifersaunders
108,catwalk (1996),documentary,robertleacock,fashion paris france one word title new york city,christyturlington azzedinealaïa giorgioarmani
109,headless body in topless bar (1995),comedy drama thriller,jamesbruce,topless bar topless stripper jeans,raymondj.barry rustambranaman jennifermacdonald
110,braveheart (1995),action drama war,randallwallace,scotland revolt based on true story england,jamesrobinson seanlawlor sandynelson
112,rumble in the bronx (hont faan kui) (1995),action adventure comedy crime,edwardtang,coors light coast guard helicopter collapsing building,jackiechan anitamui françoiseyip
113,before and after (1996),drama mystery,rosellenbrown,based on novel suspect lie boyfriend girlfriend relationship,merylstreep liamneeson edwardfurlong
114,margaret's museum (1995),drama,sheldoncurrie,alliteration in title two word title name in title female name in title,helenabonhamcarter cliverussell craigolejnik
115,"happiness is in the field (bonheur est dans le pré, le) (1995)",comedy,étiennechatiliez,claim in title rural setting gascony missing person,michelserrault eddymitchell sabineazéma
116,anne frank remembered (1995),documentary,jonblair,reference to anne frank 1940s 1930s soldier,kennethbranagh jannybrandes-brilslijper glennclose
117,"young poisoner's handbook, the (1995)",crime drama,benjaminross,poisoner murderer death by poison murder by poison,tobiasarnold ruthsheen rogerlloydpack
118,if lucy fell (1996),comedy romance,ericschaeffer,love roommate new york city lingerie slip,sarahjessicaparker ericschaeffer benstiller
119,"steal big, steal little (1995)",comedy,andrewdavis,lawyer estate twin brother brother brother relationship,andygarcia alanarkin rachelticotin
120,race the sun (1996),adventure comedy drama,barrymorrow,high school student teenage boy teenage girl solar car,halleberry jimbelushi billhunter
121,"boys of st. vincent, the (1992)",drama,deswalsh,orphanage boy priest sexual abuse,henryczerny johnnymorina briandooley
122,boomerang (1992),comedy romance,barryw.blaustein,advertising executive african american protagonist yuppie chauvinist,eddiemurphy robingivens halleberry
123,chungking express (chung hing sam lam) (1994),drama mystery romance,kar-waiwong,hong kong spoken inner thoughts drug smuggling expiration date,brigittelin tonychiu-waileung fayewong
124,"star maker, the (uomo delle stelle, l') (1995)",drama,giuseppetornatore,girl nipples breasts unfaithfulness,sergiocastellitto tizianalodato francoscaldati
125,flirting with disaster (1996),comedy,davido.russell,road movie husband wife relationship overalls dysfunctional family,benstiller patriciaarquette téaleoni
126,"neverending story iii, the (1994)",adventure children fantasy,jefflieberman,sequel by name only cult film playing guitar new kid in school,jasonjamesrichter melodykay jackblack
127,"silences of the palace, the (saimt el qusur) (1994)",drama,nouribouzid,belly dancing pregnant from rape teenage sexuality pregnant woman vomiting,hindsabri ghalialacroix nejiaouerghi
128,jupiter's wife (1994),documentary,michelnegroponte,central park american society for the prevention of cruelty to animals park actor,maggiecogan katinapendleton
129,pie in the sky (1996),comedy romance,bryangordon,dance traffic jam traffic helicopter,joshcharles anneheche johngoodman
130,angela (1995),drama,rebeccamiller,girl mental illness tween girl sister sister relationship,mirandarhyne charlotteeveblythe annathomson
131,frankie starlight (1995),drama romance,ronano'leary,boy ireland writer flashback,corbanwalker nialltoibin owenroe
132,jade (1995),thriller,joeeszterhas,female full frontal nudity murder of a nude woman panties pulled down breasts,davidcaruso lindafiorentino chazzpalminteri
133,nueba yol (1995),comedy drama,ángelmuñiz,new york intentionally misspelled title snowman snowball fight,luisitomartí caridadravelo raúlcarbonell
134,sonic outlaws (1995),documentary,craigbaldwin,copyright guerilla art media,lloyddunn chrisgrigg markhosler
135,down periscope (1996),comedy,hughwilson,woman in uniform cook electrician sonar operator,kelseygrammer laurenholly robschneider
136,from the journals of jean seberg (1995),documentary,markrappaport,marriage fbi black panthers politics,marybethhurt jeanseberg
137,man of the year (1995),documentary,dirkshafer,magazine centerfold contest date,vivianpaxton claudettesutherland michaelornstein
138,"neon bible, the (1995)",drama,terencedavies,teenage boy 1940s british renaissance georgia,jacobtierney drakebell genarowlands
140,up close and personal (1996),drama romance,joandidion,mentor protege relationship journalism television news television broadcast,robertredford michellepfeiffer stockardchanning
141,"birdcage, the (1996)",comedy,jeanpoiret,gay father remake of french film based on play transvestism,robinwilliams genehackman nathanlane
143,gospa (1995),drama,ivanaralica,priest nun semi religious propaganda,martinsheen michaelyork morganfairchild
144,"brothers mcmullen, the (1995)",comedy,edwardburns,irish catholic long island low budget film loss of father,sharialbert maxinebahns catharinebolz
145,bad boys (1995),action comedy crime drama thriller,georgegallo,criminal investigation murder investigation usa united states,lisaboyle michaeltaliferro emmanuelxuereb
146,"amazing panda adventure, the (1995)",adventure children,johnwilcox,boyfriend girlfriend relationship actor shares first name with character no opening credits panda,stephenlang ryanslater yiding
147,"basketball diaries, the (1995)",drama,jimcarroll,addiction childhood friend student athlete basketball,leonardodicaprio lorrainebracco marilynsokol
148,"awfully big adventure, an (1995)",drama,mikenewell,accidental incest overalls speech man wears eyeglasses,alanrickman hughgrant georginacates
149,amateur (1994),crime drama thriller,halhartley,pornographer new york city nun amnesia,isabellehuppert martindonovan elinalöwensohn
150,apollo 13 (1995),adventure drama imax,jimlovell,1970s survival astronaut space mission,tomhanks billpaxton kevinbacon
151,rob roy (1995),action drama romance war,alansharp,scotland highlands 18th century flintlock pistol,liamneeson jessicalange johnhurt
152,"addiction, the (1995)",drama horror,nicholasst.john,psychotronic film vampire new york drugs,lilitaylor christopherwalken annabellasciorra
153,batman forever (1995),action adventure comedy crime,bobkane,bruce wayne character batman character alfred pennyworth character harvey dent character,valkilmer tommyleejones jimcarrey
155,beyond rangoon (1995),adventure drama war,johnboorman,burma escape dictatorship doctor,patriciaarquette uaungko francesmcdormand
156,blue in the face (1995),comedy drama,waynewang,bare breasts topless female nudity husband wife relationship cigar smoking,loureed michaelj.fox roseannebarr
157,canadian bacon (1995),comedy war,michaelmoore,international relations the white house united states president,johncandy alanalda rheaperlman
158,casper (1995),adventure children,josephoriolo,ghost mansion spirit friendly ghost,chaunceyleopardi spencervrooman malachipearson
159,clockers (1995),crime drama mystery,richardprice,italian american jewish american brooklyn bridge reference to rosa parks,harveykeitel johnturturro delroylindo
160,congo (1995),action adventure mystery sci-fi,michaelcrichton,lost city gorilla diamond talking gorilla,lauralinney dylanwalsh erniehudson
161,crimson tide (1995),drama thriller war,michaelschiffer,submarine u.s. navy 1990s submarine captain,denzelwashington genehackman mattcraven
162,crumb (1994),documentary,robertcrumb,robert crumb cartoonist underground comic psychotronic film,robertcrumb alinekominsky-crumb charlescrumb
163,desperado (1995),action romance western,robertrodriguez,contemporary western mexican one against many lone wolf,antoniobanderas salmahayek joaquimdealmeida
164,devil in a blue dress (1995),crime film-noir mystery thriller,waltermosley,african american jazz club private detective missing person,denzelwashington tomsizemore jenniferbeals
165,die hard: with a vengeance (1995),action crime thriller,jonathanhensleigh,john mcclane character time bomb good versus evil male butt clench,brucewillis jeremyirons samuell.jackson
166,"doom generation, the (1995)",comedy crime drama,greggaraki,one female two males threesome pubic hair fellatio threesome,jamesduval rosemcgowan johnathonschaech
167,feast of july (1995),drama,h.e.bates,sex scene cobbler the shoemaker shoe 19th century,embethdavidtz tombell gemmajones
168,first knight (1995),action drama romance,lornecameron,based on legend love triangle romantic drama arthurian legend,seanconnery richardgere juliaormond
169,free willy 2: the adventure home (1995),adventure children drama,keithwalker,whale boy oil tanker oil spill,jasonjamesrichter franciscapra marykateschellhardt
170,hackers (1995),action adventure crime thriller,rafaelmoreu,computer virus computer cyberpunk hacker,jonnyleemiller angelinajolie jessebradford
171,jeffrey (1995),comedy drama,christopherashley,gay gay priest new york city gay lead character,stevenweber peterjacobson tomcayler
172,johnny mnemonic (1995),action sci-fi thriller,williamgibson,implanted memory virtual reality cyberspace erased memory,keanureeves dinameyer ice-t
173,judge dredd (1995),action crime sci-fi,johnwagner,based on comic book cult film judge police,sylvesterstallone armandassante robschneider
174,jury duty (1995),comedy,barbarawilliams,jury dog court hotel,paulyshore tiacarrere stanleytucci
175,kids (1995),drama,harmonykorine,virgin rape swimming in underwear sexual abuse,leofitzpatrick sarahhenderson justinpierce
176,living in oblivion (1995),comedy,tomdicillo,neo screwball comedy looking at oneself in a mirror 1990s filmmaking,stevebuscemi catherinekeener dermotmulroney
177,lord of illusions (1995),horror,clivebarker,neo noir private detective magician illusionist,scottbakula j.trevoredmond danielvonbargen
178,love & human remains (1993),comedy drama,denysarcand,lesbian dominatrix gay sex,thomasgibson ruthmarshall cameronbancroft
179,mad love (1995),drama romance,paulamilne,hitchhiking brief female frontal nudity attempted suicide voyeur,chriso'donnell drewbarrymore matthewlillard
180,mallrats (1995),comedy romance,kevinsmith,mall jay and silent bob mini dress blonde,shannendoherty jeremylondon jasonlee
181,mighty morphin power rangers: the movie (1995),action children,johnkamps,costume fake mustache warrioress prehistory,karanashley johnnyyongbosch stevecardenas
182,moonlight and valentino (1995),drama romance,ellensimon,female rear nudity sister sister relationship house painter widow,elizabethperkins whoopigoldberg shadiasimmons
183,mute witness (1994),comedy horror thriller,anthonywaller,mute chase russian mafia cult film,marinazudina fayripley evanrichards
184,nadja (1994),drama,michaelalmereyda,vampire female vampire boxing practice morgue,elinalöwensohn nicratner karlgeary
185,"net, the (1995)",action crime thriller,johnbrancato,computer identity identity theft computer hacker,sandrabullock jeremynortham dennismiller
186,nine months (1995),comedy romance,patrickbraoudé,time for title bad dream close up of eyes close up of lips,hughgrant juliannemoore tomarnold
187,party girl (1995),comedy,harrybirckmayer,female stockinged legs title directed by female triple f rated library,parkerposey anthonydesando guillermodíaz
188,"prophecy, the (1995)",fantasy horror mystery,gregorywiden,profanity porn magazine pizza black comedy,christopherwalken eliaskoteas virginiamadsen
189,reckless (1995),comedy fantasy,craiglucas,christmas female protagonist fictional game show trauma,miafarrow tonygoldwyn juanabarrios
190,safe (1995),thriller,toddhaynes,psychiatrist housewife allergy female protagonist,juliannemoore xanderberkeley deannorris
191,"scarlet letter, the (1995)",drama romance,nathanielhawthorne,17th century adultery letter swimming,demimoore garyoldman robertduvall
192,the show (1995),documentary,craigmack,hip hop concert film vulgarity,afrikabambaataa kurtisblow sean'diddy'combs
193,showgirls (1995),drama,joeeszterhas,stripper lap dancing female nudity striptease,elizabethberkley kylemaclachlan ginagershon
194,smoke (1995),comedy drama,paulauster,smoke cigarette smoking death of wife year 1990,giancarloesposito josézúñiga stephengevedon
195,something to talk about (1995),comedy drama romance,calliekhouri,adulterous husband female protagonist reconciliation scandal,juliaroberts dennisquaid robertduvall
196,species (1995),horror sci-fi,dennisfeldman,interspecies sex sex with an alien woman seduction sexual desire,benkingsley michaelmadsen alfredmolina
197,"stars fell on henrietta, the (1995)",drama,jameskeach,child in jeopardy family in jeopardy real life mother and daughter play mother and daughter oil field wildcatter,robertduvall aidanquinn francesfisher
198,strange days (1995),action crime drama mystery sci-fi thriller,jamescameron,cyberpunk virtual reality murder rape,ralphfiennes angelabassett juliettelewis
200,"tie that binds, the (1995)",thriller,wesleystrick,man tied up bound and gagged woman tied up held hostage,darylhannah keithcarradine moirakelly
201,three wishes (1995),drama fantasy,cliffordgreen,son drifter dog baseball,patrickswayze maryelizabethmastrantonio josephmazzello
202,total eclipse (1995),drama romance,christopherhampton,poet 1870s pregnant wife absinthe,leonardodicaprio davidthewlis romanebohringer
203,"to wong foo, thanks for everything! julie newmar (1995)",comedy,douglascarterbeane,drag queen on the road new york city domestic violence,wesleysnipes patrickswayze johnleguizamo
204,under siege 2: dark territory (1995),action,richardhatem,repeat sequel time bomb good versus evil man kills a woman,stevenseagal ericbogosian everettmcgill
205,unstrung heroes (1995),comedy drama,dianekeaton,uncle nephew relationship terminal illness based on memoir eccentricity,andiemacdowell johnturturro michaelrichards
206,unzipped (1995),documentary,isaacmizrahi,fashion one word title fashion runway modeling,roseannebarr sandrabernhard robertbest
207,"walk in the clouds, a (1995)",drama romance,robertmarkkamen,falling in love 1940s post world war ii aftermath of world war ii,keanureeves aitanasánchez-gijón anthonyquinn
208,waterworld (1995),action adventure sci-fi,peterrader,nonconsensual haircut post apocalypse swimming global warming,kevincostner chaimjeraffi rickaviles
209,white man's burden (1995),drama,desmondnakano,black bourgeois alternate reality alternate history dystopia,johntravolta harrybelafonte kellylynch
210,wild bill (1995),western,peterdexter,black and white to color two gun holster gun holster gun,jeffbridges ellenbarkin johnhurt
211,"browning version, the (1994)",drama,terencerattigan,army central intelligence agency cricket the sport firework,albertfinney gretascacchi matthewmodine
212,bushwhacked (1995),adventure comedy crime mystery,johnjordan,slapstick comedy manhunt fbi agent stupidity,danielstern jonpolito bradsullivan
213,burnt by the sun (utomlyonnye solntsem) (1994),drama,nikitamikhalkov,stalinism year 1936 soviet citizen nkvd,olegmenshikov nikitamikhalkov ingeborgadapkunaite
214,before the rain (pred dozhdot) (1994),drama war,milchomanchevski,endless loop brother brother incest violence monk,grégoirecolin josifjosifovski borisdelcevski
215,before sunrise (1995),drama romance,richardlinklater,conversations train french tourist,ethanhawke juliedelpy andreaeckert
216,billy madison (1995),comedy,timherlihy,crude humor banana peel high school graduation academic decathlon,adamsandler darrenmcgavin bridgettewilson-sampras
217,"babysitter, the (1995)",drama thriller,robertcoover,seductive minidress sexy teenager sexpot,aliciasilverstone jeremylondon j.t.walsh
218,boys on the side (1995),comedy drama,donroos,lesbian female protagonist terminal illness domestic violence,whoopigoldberg mary-louiseparker drewbarrymore
219,"cure, the (1995)",drama,robertkuhn,tickling bare chested male bare chested boy bare chested teenage boy,bradrenfro aerykegan delphinefrench
220,castle freak (1995),horror,stuartgordon,castle monster blind girl sex scene,jeffreycombs barbaracrampton jonathanfuller
222,circle of friends (1995),drama romance,andrewdavies,student pregnancy 1950s ireland,chriso'donnell minniedriver geraldineo'rawe
223,clerks (1994),comedy,kevinsmith,friendship low budget film friend convenience store,briano'halloran jeffanderson marilynghigliotti
224,don juan demarco (1995),comedy drama romance,lordbyron,psychiatrist sex scene attempted suicide character name as title,marlonbrando johnnydepp fayedunaway
225,disclosure (1994),drama thriller,michaelcrichton,casting couch sexual harassment seduction fellatio,michaeldouglas demimoore donaldsutherland
226,dream man (1995),thriller,renébonnière,vision psychic erotica police,patsykensit brucegreenwood andrewmccarthy
227,drop zone (1994),action thriller,tonygriffin,terrorist parachute skydiving death of brother,wesleysnipes garybusey yancybutler
228,destiny turns on the radio (1995),comedy,robertramsey,heist desert supernatural power las vegas nevada,dylanmcdermott nancytravis jameslegros
229,death and the maiden (1994),drama thriller,arieldorfman,suspense minimal cast single set production dictatorship,sigourneyweaver benkingsley stuartwilson
230,dolores claiborne (1995),drama thriller,stephenking,f rated watching tv woman wears eyeglasses character name as title,kathybates jenniferjasonleigh judyparfitt
231,dumb & dumber (dumb and dumber) (1994),adventure comedy,bobbyfarrelly,road trip briefcase of money woman wearing a short skirt kidnapping,jimcarrey jeffdaniels laurenholly
232,eat drink man woman (yin shi nan nu) (1994),comedy drama romance,anglee,chef chinese food cooking daughter,sihunglung yu-wenwang chien-lienwu
233,exotica (1994),drama,atomegoyan,cult film public nudity protective male haunted by the past,brucegreenwood miakirshner donmckellar
